央视频道,#genre#
CCTV-1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV-1,http://tv.fanmingming.com/api/?id=cctv1
CCTV-1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-1,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV-1,http://117.169.121.162:6610/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1,http://39.134.115.163:8080/TVOD/88888910/224/3221225618/index.m3u8

CCTV-2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV-2,http://tv.fanmingming.com/api/?id=cctv2
CCTV-2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-2,http://125.210.152.19:9120/live/hzgq-cctv2gq-h264.m3u8
CCTV-2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd
CCTV-2,http://117.169.121.162:6610/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2,http://39.134.115.163:8080/TVOD/88888910/224/3221225619/index.m3u8

CCTV-5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000
CCTV-5,http://tv.fanmingming.com/api/?id=cctv5
CCTV-5,http://cm.wshls.homecdn.com/live/11eec.m3u8
CCTV-5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-5,http://125.210.152.19:9120/live/hzgq-cctv1gq-h264.m3u8
CCTV-5,http://huth.2288.org:4000/udp/235.254.198.54:1492
CCTV-5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd
CCTV-5,http://113.117.74.17:808/hls/5/index.m3u8
CCTV-5,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV-5,http://218.79.210.183:2001/hls/5/index.m3u8
CCTV-5,http://125.40.191.58:9901/tsfile/live/0005_1.m3u8
CCTV-5,http://222.240.82.92:9901/tsfile/live/0005_1.m3u8

CCTV-5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000
CCTV-5+,http://tv.fanmingming.com/api/?id=cctv5p
CCTV-5+,http://tv.fanmingming.com/api/?id=cctv5p2
CCTV-5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-5+,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV-5+,http://huth.2288.org:4000/udp/235.254.199.121:7980
CCTV-5+,http://117.169.121.162:6610/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+,http://39.134.115.163:8080/TVOD/88888910/224/3221225649/index.m3u8
CCTV-5+,http://125.210.152.19:9120/live/hzgq-cctvzhgq-h264.m3u8
CCTV-5+,http://m.a1.gs/p/migu.php?id=cctv5p
CCTV-5+,http://111.59.189.40:8445/tsfile/live/1018_1.m3u8
CCTV-5+,http://222.175.159.226:808/hls/6/index.m3u8

CCTV-6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000
CCTV-6,http://tv.fanmingming.com/api/?id=cctv6
CCTV-6,http://cm.wshls.homecdn.com/live/11ee8.m3u8
CCTV-6,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
CCTV-6,http://125.210.152.19:9120/live/hzgq-cctv6gq-h264.m3u8
CCTV-6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd
CCTV-6,http://117.169.121.162:6610/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6,http://218.29.55.44:808/hls/6/index.m3u8
CCTV-6,http://113.117.74.17:808/hls/6/index.m3u8
CCTV-6,http://39.134.115.163:8080/TVOD/88888910/224/3221225650/index.m3u8

CCTV-12,https://live.v1.mk/api/bestv.php?id=cctv12hd8m/8000000
CCTV-12,http://tv.fanmingming.com/api/?id=cctv12
CCTV-12,https://node1.olelive.com:6443/live/CCTV12HD/hls.m3u8
CCTV-12,http://125.210.152.19:9120/live/hzgq-cctv12gq-h264.m3u8
CCTV-12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd
CCTV-12,http://117.169.121.162:6610/PLTV/88888910/224/3221225629/index.m3u8
CCTV-12,http://39.134.115.163:8080/TVOD/88888910/224/3221225629/index.m3u8
CCTV-12,http://218.29.55.44:808/hls/12/index.m3u8

CCTV-13,https://live.v1.mk/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV-13,http://tv.fanmingming.com/api/?id=cctv13
CCTV-13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV-13,http://125.210.152.19:9120/live/hzgq-cctvnewsgq-h264.m3u8
CCTV-13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd
CCTV-13,http://117.169.121.162:6610/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13,http://39.134.115.163:8080/TVOD/88888910/224/3221225638/index.m3u8
CCTV-13,http://124.220.17.172/as.php?id=13
CCTV-13,http://218.29.55.44:808/hls/13/index.m3u8

CCTV-4K,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000
CCTV-4K,http://tv.fanmingming.com/api/?id=cctv4k
CCTV-4K,https://v.bjiptv.eu.org/4.php
CCTV-4K,http://159.75.85.63:8280/cctv4k.php


卫视频道,#genre#
北京卫视,https://live.v1.mk/api/bestv.php?id=bjwshd8m/8000000
北京卫视,http://tv.fanmingming.com/api/?id=bjws
北京卫视,https://node1.olelive.com:6443/live/BJHD/hls.m3u8
北京卫视,http://125.210.152.19:9120/live/hzgq-bjgqws-h264.m3u8
北京卫视,http://222.175.159.226:808/hls/45/index.m3u8
北京卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225673/index.m3u8
北京卫视,http://113.117.74.17:808/hls/45/index.m3u8

浙江卫视,https://live.v1.mk/api/bestv.php?id=zjwshd8m/8000000
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://tv.fanmingming.com/api/?id=zjws
浙江卫视,https://node1.olelive.com:6443/live/ZJHD/hls.m3u8
浙江卫视,http://125.210.152.19:9120/live/hzgq-zjwsgq-h264.m3u8
浙江卫视,http://222.175.159.226:808/hls/42/index.m3u8
浙江卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225744/index.m3u8
浙江卫视,http://113.117.74.17:808/hls/43/index.m3u8

江苏卫视,https://live.v1.mk/api/bestv.php?id=jswshd8m/8000000
江苏卫视,http://tv.fanmingming.com/api/?id=jsws
江苏卫视,http://125.210.152.19:9120/live/hzgq-jswsgq-h264.m3u8
江苏卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225743/index.m3u8
江苏卫视,http://113.117.74.17:808/hls/44/index.m3u8

东方卫视,https://live.v1.mk/api/bestv.php?id=dfwshd8m/8000000
东方卫视,http://tv.fanmingming.com/api/?id=dfws
东方卫视,https://node1.olelive.com:6443/live/DFHD/hls.m3u8
东方卫视,http://125.210.152.19:9120/live/hzgq-dftvgq-h264.m3u8
东方卫视,http://tvmvip110.club/bs.php?id=22
东方卫视,http://222.175.159.226:808/hls/43/index.m3u8
东方卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225658/index.m3u8
东方卫视,http://113.117.74.17:808/hls/47/index.m3u8

湖南卫视,https://live.v1.mk/api/bestv.php?id=hunanwshd8m/8000000
湖南卫视,http://tv.fanmingming.com/api/?id=hunws
湖南卫视,https://node1.olelive.com:6443/live/HNHD/hls.m3u8
湖南卫视,http://125.210.152.19:9120/live/hzgq-hnwsgq-h264.m3u8
湖南卫视,http://222.175.159.226:808/hls/41/index.m3u8
湖南卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225745/index.m3u8
湖南卫视,http://113.117.74.17:808/hls/42/index.m3u8

广东卫视,https://live.v1.mk/api/bestv.php?id=gdwshd8m/8000000
广东卫视,http://tv.fanmingming.com/api/?id=gdws
广东卫视,http://125.210.152.19:9120/live/hzgq-gdwsgq-h264.m3u8
广东卫视,http://222.175.159.226:808/hls/52/index.m3u8
广东卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225742/index.m3u8
广东卫视,http://113.117.74.17:808/hls/40/index.m3u8

辽宁卫视,https://live.v1.mk/api/bestv.php?id=lnwshd8m/8000000
辽宁卫视,http://tv.fanmingming.com/api/?id=lnws
辽宁卫视,http://125.210.152.19:9120/live/hzgq-lnwsgq-h264.m3u8
辽宁卫视,http://222.175.159.226:808/hls/48/index.m3u8
辽宁卫视,http://117.169.121.162:6610/PLTV/88888910/224/3221225735/index.m3u8
辽宁卫视,http://113.117.74.17:808/hls/54/index.m3u8
辽宁都市,http://42.176.185.28:9901/tsfile/live/1005_1.m3u8

凤凰中文,http://2022.stream-link.org/live/58079722
凤凰中文,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
凤凰资讯,http://2022.stream-link.org/live/433059615
凤凰资讯,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8


体育频道,#genre#
五星体育,https://live.v1.mk/api/bestv.php?id=wxtyhd8m/8000000
五星体育,http://58.34.204.67:9901/tsfile/live/1014_1.m3u8
劲爆体育,https://live.v1.mk/api/bestv.php?id=jbtyhd8m/8000000
劲爆体育,https://live.v1.mk/api/ghyx.php?id=JinBaoTiYuHD_6000
劲爆体育,http://suixiaobin.dsmynas.net:5666/ghyx.php?id=JinBaoTiYuHD_6000
广东体育,http://157.122.177.10:9901/tsfile/live/1001_1.m3u8
广东体育,http://120.84.96.73:808/hls/22/index.m3u8
广东体育,https://live.v1.mk/api/itouch.php?id=1184
广东体育,http://r.jdshipin.com/LiYdg
纬来体育,http://123.51.230.108:18509/.m3u8
纬来体育,http://123.51.230.108:18509/http/192.168.1.9:8081/hls/67/809/12_2440494.m3u8
JJ斗地主,http://hdltctwk.douyucdn2.cn/live/488743rAHScWyyII.xs
JJ斗地主,http://mmitv.top/pltv/huya.php?id=14079954
JJ斗地主,http://epg.112114.xyz/douyu/488743
JJ斗地主,http://bp-caster.bestv.com.cn:80/359/1/video.m3u8
